trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
20220429,600320.SH,3.11,3.18,3.09,3.16,3.11,0.05,1.6077,152330.87,47915.28
20220428,600320.SH,3.05,3.12,3.01,3.11,3.06,0.05,1.634,187613.5,57431.266
20220427,600320.SH,2.99,3.07,2.89,3.06,2.99,0.07,2.3411,199098.39,59393.512
20220426,600320.SH,3.06,3.1,2.98,2.99,3.04,-0.05,-1.6447,168444.66,51255.218
20220425,600320.SH,3.16,3.19,3.03,3.04,3.19,-0.15,-4.7022,194874.6,60506.025
20220422,600320.SH,3.16,3.23,3.12,3.19,3.17,0.02,0.6309,125334.38,39928.201
20220421,600320.SH,3.28,3.28,3.16,3.17,3.29,-0.12,-3.6474,172174.78,55321.251
20220420,600320.SH,3.36,3.36,3.27,3.29,3.35,-0.06,-1.791,117396.6,38869.811
20220419,600320.SH,3.33,3.36,3.31,3.35,3.33,0.02,0.6006,89167.2,29728.008
20220418,600320.SH,3.32,3.36,3.28,3.33,3.35,-0.02,-0.597,120744.68,40132.837
20220415,600320.SH,3.42,3.43,3.3,3.35,3.42,-0.07,-2.0468,285991.1,96229.125
20220414,600320.SH,3.31,3.49,3.3,3.42,3.3,0.12,3.6364,392363.21,134507.217
20220413,600320.SH,3.4,3.4,3.28,3.3,3.41,-0.11,-3.2258,171466.92,57081.888
20220412,600320.SH,3.3,3.42,3.25,3.41,3.3,0.11,3.3333,178767.16,59869.026
20220411,600320.SH,3.37,3.38,3.29,3.3,3.38,-0.08,-2.3669,135213.3,45097.197
20220408,600320.SH,3.34,3.39,3.27,3.38,3.32,0.06,1.8072,137617.3,45848.654
20220407,600320.SH,3.39,3.41,3.32,3.32,3.39,-0.07,-2.0649,126238.7,42434.986
20220406,600320.SH,3.34,3.4,3.33,3.39,3.35,0.04,1.194,141165.06,47556.179
20220401,600320.SH,3.32,3.36,3.27,3.35,3.32,0.03,0.9036,126538.62,42185.064
20220331,600320.SH,3.27,3.35,3.26,3.32,3.27,0.05,1.5291,180802.33,59885.275
20220330,600320.SH,3.23,3.27,3.21,3.27,3.23,0.04,1.2384,92663.12,30036.433
20220329,600320.SH,3.24,3.25,3.19,3.23,3.23,0.0,0.0,85513.96,27507.376
20220328,600320.SH,3.23,3.24,3.16,3.23,3.24,-0.01,-0.3086,108619.16,34820.147
20220325,600320.SH,3.25,3.28,3.23,3.24,3.26,-0.02,-0.6135,70614.21,22980.566
20220324,600320.SH,3.29,3.3,3.26,3.26,3.3,-0.04,-1.2121,66771.95,21856.659
20220323,600320.SH,3.3,3.33,3.27,3.3,3.28,0.02,0.6098,81009.53,26714.322
20220322,600320.SH,3.26,3.32,3.25,3.28,3.28,0.0,0.0,84954.92,27914.236
20220321,600320.SH,3.3,3.32,3.23,3.28,3.29,-0.01,-0.304,107937.7,35309.356
20220318,600320.SH,3.24,3.32,3.23,3.29,3.25,0.04,1.2308,112020.79,36766.381
20220317,600320.SH,3.26,3.3,3.24,3.25,3.24,0.01,0.3086,127358.85,41597.174
20220316,600320.SH,3.18,3.25,3.09,3.24,3.14,0.1,3.1847,186170.02,59156.947
20220315,600320.SH,3.35,3.35,3.11,3.14,3.35,-0.21,-6.2687,216684.51,70072.277
20220314,600320.SH,3.43,3.45,3.35,3.35,3.44,-0.09,-2.6163,110815.33,37606.618
20220311,600320.SH,3.37,3.45,3.33,3.44,3.41,0.03,0.8798,119304.72,40369.078
20220310,600320.SH,3.43,3.45,3.37,3.41,3.36,0.05,1.4881,107808.76,36884.236
20220309,600320.SH,3.45,3.48,3.26,3.36,3.45,-0.09,-2.6087,199582.69,67250.66
20220308,600320.SH,3.53,3.55,3.43,3.45,3.54,-0.09,-2.5424,137731.2,48061.791
20220307,600320.SH,3.59,3.61,3.52,3.54,3.61,-0.07,-1.9391,118842.23,42346.935
20220304,600320.SH,3.67,3.67,3.59,3.61,3.68,-0.07,-1.9022,129362.4,46885.32
20220303,600320.SH,3.61,3.69,3.61,3.68,3.61,0.07,1.9391,172443.41,63119.758
20220302,600320.SH,3.58,3.62,3.57,3.61,3.6,0.01,0.2778,110669.91,39843.474
20220301,600320.SH,3.58,3.62,3.57,3.6,3.58,0.02,0.5587,106386.33,38210.39
20220228,600320.SH,3.55,3.59,3.49,3.58,3.55,0.03,0.8451,149922.76,53194.903
20220225,600320.SH,3.58,3.62,3.54,3.55,3.55,0.0,0.0,112053.52,40025.416
